,ra,dec,obsid,name,cluster,silhouette_prob,silhouette
0,0.0123175645113065,-35.0590684379273,15712,2CXO J000002.9-350332,2,0.5125188431877676,0.025037686375535204
1,0.041803475412677926,-50.25740005422238,11997,2CXO J000010.0-501526,2,0.5144161515091845,0.02883230301836912
2,0.08281398900214754,-24.841752102255914,13394,2CXO J000019.8-245030,2,0.5151089473554741,0.030217894710948108
3,0.10624578772490167,-24.905299695823373,13394,2CXO J000025.4-245419,3,0.5470991116363934,0.0941982232727867
4,0.1143034167072301,-50.07266878068802,11997,2CXO J000027.4-500421,3,0.5803210358257468,0.1606420716514936
5,0.1143034167072301,-50.07266878068802,11742,2CXO J000027.4-500421,3,0.5020705409935009,0.0041410819870018635
6,0.11914873534999515,62.514960496503186,2810,2CXO J000028.5+623053,0,0.5090531820320746,0.018106364064149234
8,0.12972101251364165,-50.15397038136575,11997,2CXO J000031.1-500914,5,0.5426837683887846,0.08536753677756931
9,0.13277318534778715,-24.91620991322102,13394,2CXO J000031.8-245458,2,0.5488947459343642,0.09778949186872841
12,0.19840601465818963,-55.32712156322695,7061,2CXO J000047.6-551937,2,0.49963041689434645,-0.0007391662113071511
14,0.24580009648730083,-24.9138030954695,13394,2CXO J000058.9-245449,2,0.49768641003553393,-0.0046271799289321035
15,0.24987449683362684,-57.809243122405796,9335,2CXO J000059.9-574833,5,0.5826980751508547,0.16539615030170943
16,0.25091500972757785,-25.083454752298454,13394,2CXO J000100.2-250500,5,0.5550006864499124,0.11000137289982488
17,0.26021552721175567,-24.980147114323174,13394,2CXO J000102.4-245848,2,0.6132561112290518,0.22651222245810357
18,0.2823051715106999,-50.23024163624799,11997,2CXO J000107.7-501348,3,0.5522187375056293,0.10443747501125868
19,0.2881188455745587,-24.937420223946575,13394,2CXO J000109.1-245614,0,0.4887370301015303,-0.022525939796939436
21,0.38404239693647924,-24.96942745494688,13394,2CXO J000132.1-245809,3,0.5697822911001941,0.13956458220038814
22,0.3957036902349387,23.594534637338278,14898,2CXO J000134.9+233540,3,0.61446707796151,0.22893415592302002
23,0.40043980194343476,13.110959521781389,6978,2CXO J000136.1+130639,4,0.6653224792915615,0.330644958583123
24,0.40043980194343476,13.110959521781389,8491,2CXO J000136.1+130639,5,0.5345816683821439,0.06916333676428779
25,0.43649292517847016,13.197253444560632,8491,2CXO J000144.7+131150,3,0.5440903681083928,0.0881807362167858
26,0.43649292517847016,13.197253444560632,6978,2CXO J000144.7+131150,3,0.5833082710830395,0.16661654216607913
